Offer Title,Image,Description,,Link,Eligible Credit Cards,Eligible Debit Cards
,,,,,,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Indianoil Kotak Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak 811 Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak 811 Dream Different Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak IndiGo 6E Rewards Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak IndiGo 6E Rewards XL Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak League Platinum Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak Mojo Platinum Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak Urbane Gold Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak White Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Kotak Zen Signature Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,Myntra Kotak Credit Card,
Flat 10% OFF (Up to Rs. 5000),https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/003cbf8a3ee7c750f69c189d880d38b9.jpg,Coupon Code : KOTAKEMI,,https://www.yatra.com/offer/details/kotak-bank-emi-offers,PVR Inox Kotak Credit Card,
Up to Rs. 10000 OFF,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Aug/f289b864cb9544be5623a4d4e35cdf71.jpg,Coupon Code : YATRAHSBC,,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Live+ Credit Card,
